Nazwa pliku,TP,FN,FP,PPV,TPR,ACC,F1,INF
5MRC_1_A_A_602_A.amt,10,2,7,0.5882352941176471,0.8333333333333334,0.625,0.6896551724137931,0.7001400420140049
7OYB_1_22_A_921_G.amt,4,0,1,0.8,1.0,0.875,0.888888888888889,0.8944271909999159
7R81_1_A1-C1_A_639_G.amt,8,4,7,0.5333333333333333,0.6666666666666666,0.5416666865348816,0.5925925925925926,0.5962847939999438
5TBW_1_1-4_1_2962_U.amt,6,4,3,0.6666666666666666,0.6,0.6499999761581421,0.631578947368421,0.6324555320336759
6RXU_1_C1-C2_A_497_A.amt,2,0,1,0.6666666666666666,1.0,0.75,0.8,0.816496580927726
6AZ3_1_2_2_816_G.amt,4,4,2,0.6666666666666666,0.5,0.625,0.5714285714285715,0.5773502691896257
8CRX_1_A_A_1437_G.amt,2,0,1,0.6666666666666666,1.0,0.75,0.8,0.816496580927726
7PKT_1_7-6_B_68_A.amt,2,2,2,0.5,0.5,0.5,0.5,0.5
7LYF_1_A_A_115_G.amt,2,0,1,0.6666666666666666,1.0,0.75,0.8,0.816496580927726
5J7L_1_DA_A_2398_U.amt,2,0,0,1.0,1.0,1.0,1.0,1.0
7A0S_1_X_X_477_A.amt,8,2,5,0.6153846153846154,0.8,0.6499999761581421,0.6956521739130435,0.7016464154456233
6MWN_1_B_B_668_G.amt,6,0,2,0.75,1.0,0.8333333134651184,0.8571428571428571,0.8660254037844386
7UVZ_1_A_A_1425_G.amt,6,0,2,0.75,1.0,0.8333333134651184,0.8571428571428571,0.8660254037844386
8BUU_1_a_A_1427_A.amt,4,0,3,0.5714285714285714,1.0,0.625,0.7272727272727273,0.7559289460184544
7ABZ_1_4_4_143_C.amt,0,2,1,0.0,0.0,0.25,0.0,0.0
6GYV_1_A_A_161_U.amt,9,1,3,0.75,0.9,0.800000011920929,0.8181818181818182,0.8215838362577492
7ZHG_1_2_A_1143_A.amt,9,1,3,0.75,0.9,0.800000011920929,0.8181818181818182,0.8215838362577492
8H2H_1_A_A_198_U.amt,2,0,0,1.0,1.0,1.0,1.0,1.0
5J7L_1_DA_A_2312_U.amt,1,1,0,1.0,0.5,0.75,0.6666666666666666,0.7071067811865476
7UVZ_1_A_A_1701_G.amt,6,2,2,0.75,0.75,0.75,0.75,0.75
6ZU5_1_L50_A_2088_A.amt,4,2,4,0.5,0.6666666666666666,0.5,0.5714285714285715,0.5773502691896257
7QIW_1_2-8_A_2530_U.amt,2,0,1,0.6666666666666666,1.0,0.75,0.8,0.816496580927726
7K16_1_P_P_12_G.amt,2,0,0,1.0,1.0,1.0,1.0,1.0
1N78_1_C_C_526_G.amt,0,4,1,0.0,0.0,0.375,0.0,0.0
5T2A_1_B_B_520_C.amt,10,2,3,0.7692307692307693,0.8333333333333334,0.7916666865348816,0.8,0.8006407690254357
7A0S_1_X_X_2502_G.amt,13,1,6,0.6842105263157895,0.9285714285714286,0.75,0.7878787878787878,0.7970811413304556
5XXU_1_2_2_403_G.amt,10,4,6,0.625,0.7142857142857143,0.6428571343421936,0.6666666666666666,0.6681531047810609
6XU8_1_B2_A_1251_A.amt,2,2,1,0.6666666666666666,0.5,0.625,0.5714285714285715,0.5773502691896257
6AZ3_1_8_8_23_G.amt,4,0,3,0.5714285714285714,1.0,0.625,0.7272727272727273,0.7559289460184544
7SFR_1_a_A_17_U.amt,4,2,2,0.6666666666666666,0.6666666666666666,0.6666666865348816,0.6666666666666666,0.6666666666666666
6ERI_1_AA_A_1339_C.amt,0,6,1,0.0,0.0,0.4166666567325592,0.0,0.0
7QCA_1_S60_A_262_U.amt,4,2,0,1.0,0.6666666666666666,0.8333333134651184,0.8,0.816496580927726
4KZY_1_i_i_1115_A.amt,2,0,0,1.0,1.0,1.0,1.0,1.0
6S0X_1_a_a_1444_A.amt,8,0,2,0.8,1.0,0.875,0.888888888888889,0.8944271909999159
7PNV_1_A_A_812_A.amt,10,0,4,0.7142857142857143,1.0,0.800000011920929,0.8333333333333333,0.8451542547285166
2AKE_1_B_B_50_C.amt,7,1,2,0.7777777777777778,0.875,0.8125,0.823529411764706,0.8249579113843054
7RQB_1_1A_A_2083_G.amt,6,0,2,0.75,1.0,0.8333333134651184,0.8571428571428571,0.8660254037844386
7O7Y_1_B5-B8_A_298_G.amt,10,0,7,0.5882352941176471,1.0,0.6499999761581421,0.7407407407407407,0.7669649888473704
4KZY_1_i_i_1809_A.amt,4,0,1,0.8,1.0,0.875,0.888888888888889,0.8944271909999159
7OYB_1_51-81_A_3168_A.amt,2,6,5,0.2857142857142857,0.25,0.3125,0.26666666666666666,0.2672612419124244
6S0X_1_a_a_1047_A.amt,0,2,1,0.0,0.0,0.25,0.0,0.0
7P7Q_1_a_a_1063_A.amt,4,0,1,0.8,1.0,0.875,0.888888888888889,0.8944271909999159
4V7M_1_AY_A_27_C.amt,2,2,0,1.0,0.5,0.75,0.6666666666666666,0.7071067811865476
7R81_1_A2_A_1514_C.amt,2,2,1,0.6666666666666666,0.5,0.625,0.5714285714285715,0.5773502691896257
4WFL_1_A_A_40_U.amt,2,0,0,1.0,1.0,1.0,1.0,1.0
6RFL_1_U_U_12_G.amt,4,4,3,0.5714285714285714,0.5,0.5625,0.5333333333333333,0.5345224838248488
7QEP_1_1_1_656_A.amt,5,9,3,0.625,0.35714285714285715,0.5714285969734192,0.45454545454545453,0.472455591261534
8BUU_1_a_A_298_C.amt,6,2,4,0.6,0.75,0.625,0.6666666666666665,0.6708203932499369
6YDP_1_BA_A_690_U.amt,11,5,7,0.6111111111111112,0.6875,0.625,0.6470588235294118,0.6481812160876687
8CVM_1_a_A_786_G.amt,8,0,4,0.6666666666666666,1.0,0.75,0.8,0.816496580927726
6XU8_1_A5-A8_B_3602_U.amt,4,4,2,0.6666666666666666,0.5,0.625,0.5714285714285715,0.5773502691896257
7NAF_1_1_A_3094_A.amt,5,1,1,0.8333333333333334,0.8333333333333334,0.8333333134651184,0.8333333333333334,0.8333333333333334
7S0S_1_C_C_2661_G.amt,3,11,2,0.6,0.21428571428571427,0.5357142686843872,0.3157894736842105,0.35856858280031806
7P7Q_1_A_A_1349_C.amt,12,2,3,0.8,0.8571428571428571,0.8214285969734192,0.8275862068965518,0.828078671210825
6FZ0_1_A_A_22_U.amt,2,0,1,0.6666666666666666,1.0,0.75,0.8,0.816496580927726
7A0S_1_X_X_2049_C.amt,10,6,4,0.7142857142857143,0.625,0.6875,0.6666666666666666,0.6681531047810609
7CPU_1_L5-L8_A_4384_G.amt,0,2,1,0.0,0.0,0.25,0.0,0.0
7S0S_1_C_C_1262_A.amt,4,0,1,0.8,1.0,0.875,0.888888888888889,0.8944271909999159
7UNW_1_a_A_1388_A.amt,6,4,2,0.75,0.6,0.699999988079071,0.6666666666666665,0.6708203932499369
6QKL_1_N_N_3014_U.amt,2,0,0,1.0,1.0,1.0,1.0,1.0
7UVZ_1_A_A_1599_G.amt,4,4,5,0.4444444444444444,0.5,0.4375,0.47058823529411764,0.4714045207910317
7RQB_1_1B_A_60_C.amt,5,1,3,0.625,0.8333333333333334,0.6666666865348816,0.7142857142857143,0.7216878364870323
5T5H_1_A-C_A_1685_A.amt,2,0,0,1.0,1.0,1.0,1.0,1.0
7UNW_1_A_A_478_C.amt,8,0,6,0.5714285714285714,1.0,0.625,0.7272727272727273,0.7559289460184544
2BTE_1_B_B_47F_G.amt,4,2,0,1.0,0.6666666666666666,0.8333333134651184,0.8,0.816496580927726
7QGG_1_S2_A_1038_A.amt,5,5,5,0.5,0.5,0.5,0.5,0.5
6XU8_1_B2_A_1003_C.amt,3,1,1,0.75,0.75,0.75,0.75,0.75
6XU8_1_A5-A8_B_3470_G.amt,3,3,5,0.375,0.5,0.3333333432674408,0.42857142857142855,0.4330127018922193
7SFR_1_a_A_410_A.amt,8,0,2,0.8,1.0,0.875,0.888888888888889,0.8944271909999159
4RDX_1_C_C_8_U.amt,10,4,1,0.9090909090909091,0.7142857142857143,0.8214285969734192,0.8,0.8058229640253803
8GLP_1_L5-L8_B_310_G.amt,8,0,4,0.6666666666666666,1.0,0.75,0.8,0.816496580927726
7CPU_1_L5-L8_A_3931_C.amt,8,0,1,0.8888888888888888,1.0,0.9375,0.9411764705882353,0.9428090415820634
7RQB_1_1A_A_1457_A.amt,2,4,3,0.4,0.3333333333333333,0.4166666567325592,0.3636363636363636,0.3651483716701107
7R81_1_A1-C1_A_2088_G.amt,10,2,5,0.6666666666666666,0.8333333333333334,0.7083333134651184,0.7407407407407408,0.7453559924999299
5MRC_1_A_A_514_A.amt,4,0,1,0.8,1.0,0.875,0.888888888888889,0.8944271909999159
6RM3_1_L50_A_538_A.amt,9,3,4,0.6923076923076923,0.75,0.7083333134651184,0.7199999999999999,0.7205766921228921
7JRS_1_B-A_A_121_G.amt,6,0,2,0.75,1.0,0.8333333134651184,0.8571428571428571,0.8660254037844386
7PZY_1_1-4_1_1373_G.amt,8,2,3,0.7272727272727273,0.8,0.75,0.761904761904762,0.7627700713964739
7QGG_1_t-D_A_128_C.amt,0,4,0,0.0,0.0,0.5,0.0,0.0
7S0S_1_C_C_1853_A.amt,8,4,3,0.7272727272727273,0.6666666666666666,0.7083333134651184,0.6956521739130435,0.6963106238227914
7JIL_1_1_1_2670_U.amt,2,0,0,1.0,1.0,1.0,1.0,1.0
3AL0_1_E_E_12_C.amt,4,4,1,0.8,0.5,0.6875,0.6153846153846154,0.6324555320336759
3HJW_1_D_D_35_C.amt,2,0,0,1.0,1.0,1.0,1.0,1.0
8A22_1_A7-A6_B_497_A.amt,4,0,2,0.6666666666666666,1.0,0.75,0.8,0.816496580927726
6ERI_1_AA_A_2457_C.amt,6,2,1,0.8571428571428571,0.75,0.8125,0.7999999999999999,0.8017837257372731
7P7Q_1_A_A_2052_G.amt,4,2,4,0.5,0.6666666666666666,0.5,0.5714285714285715,0.5773502691896257
7QI4_1_A_A_2126_U.amt,6,2,5,0.5454545454545454,0.75,0.5625,0.631578947368421,0.6396021490668313
4WSM_1_1K_A_28_C.amt,1,1,1,0.5,0.5,0.5,0.5,0.5
7PNV_1_A_A_832_A.amt,6,0,2,0.75,1.0,0.8333333134651184,0.8571428571428571,0.8660254037844386
7OYC_1_51-81_A_711_G.amt,0,2,1,0.0,0.0,0.25,0.0,0.0
7ASE_1_0_0_2146_G.amt,6,0,3,0.6666666666666666,1.0,0.75,0.8,0.816496580927726
7JIL_1_1_1_145_U.amt,2,2,1,0.6666666666666666,0.5,0.625,0.5714285714285715,0.5773502691896257
3J7Q_1_5-8_5_4405_G.amt,10,2,4,0.7142857142857143,0.8333333333333334,0.75,0.7692307692307692,0.7715167498104596
7P6Z_1_3_3_2557_G.amt,9,5,4,0.6923076923076923,0.6428571428571429,0.6785714030265808,0.6666666666666666,0.667124384994991
4YAZ_1_R_R_15_C.amt,4,2,2,0.6666666666666666,0.6666666666666666,0.6666666865348816,0.6666666666666666,0.6666666666666666
6CZR_1_1a_A_1329_G.amt,6,2,4,0.6,0.75,0.625,0.6666666666666665,0.6708203932499369
6ZJ3_1_LF_A_1489_A.amt,0,2,0,0.0,0.0,0.5,0.0,0.0
3J7A_1_A_A_80_A.amt,2,2,3,0.4,0.5,0.375,0.4444444444444445,0.4472135954999579
8CRX_1_A_A_226_G.amt,12,2,9,0.5714285714285714,0.8571428571428571,0.6071428656578064,0.6857142857142857,0.6998542122237651
5ZWM_1_H-I-F_H_1143_C.amt,0,2,0,0.0,0.0,0.5,0.0,0.0
7PWG_1_1-4_1_1114_U.amt,3,3,1,0.75,0.5,0.6666666865348816,0.6,0.6123724356957945
6RM3_1_S60_A_577_A.amt,4,0,1,0.8,1.0,0.875,0.888888888888889,0.8944271909999159
7S0S_1_C_C_484_C.amt,2,2,0,1.0,0.5,0.75,0.6666666666666666,0.7071067811865476
4V88_1_A6_A_742_U.amt,4,0,0,1.0,1.0,1.0,1.0,1.0
7SFR_1_a_A_1272_A.amt,1,5,1,0.5,0.16666666666666666,0.5,0.25,0.28867513459481287
8GLP_1_L5-L8_B_256_G.amt,2,0,1,0.6666666666666666,1.0,0.75,0.8,0.816496580927726
6RM3_1_L50_A_995_U.amt,2,0,2,0.5,1.0,0.5,0.6666666666666666,0.7071067811865476
7AS8_1_2_2_31_C.amt,2,0,1,0.6666666666666666,1.0,0.75,0.8,0.816496580927726
7QGG_1_t-D_B_725_A.amt,3,1,2,0.6,0.75,0.625,0.6666666666666665,0.6708203932499369
7ABZ_1_4_4_218_G.amt,0,2,2,0.0,0.0,0.0,0.0,0.0
5DDO_1_A_A_8_C.amt,6,0,1,0.8571428571428571,1.0,0.9166666865348816,0.923076923076923,0.9258200997725514
7SFR_1_A_A_199_A.amt,5,1,3,0.625,0.8333333333333334,0.6666666865348816,0.7142857142857143,0.7216878364870323
6ZJ3_1_S1_A_1401_C.amt,2,2,1,0.6666666666666666,0.5,0.625,0.5714285714285715,0.5773502691896257
7S0S_1_C_C_670_A.amt,6,4,7,0.46153846153846156,0.6,0.44999998807907104,0.5217391304347826,0.5262348115842176
7SFR_1_A_A_2157_A.amt,2,0,0,1.0,1.0,1.0,1.0,1.0
7P6Z_1_3_3_637_U.amt,0,2,1,0.0,0.0,0.25,0.0,0.0
7S0S_1_C_C_2712_U.amt,14,0,6,0.7,1.0,0.7857142686843872,0.8235294117647058,0.8366600265340756
7QGG_1_S2_A_48_C.amt,6,6,4,0.6,0.5,0.5833333134651184,0.5454545454545454,0.5477225575051661
8BUU_1_A_A_1903_C.amt,4,0,2,0.6666666666666666,1.0,0.75,0.8,0.816496580927726
7CPU_1_L5-L8_A_2550_G.amt,12,2,4,0.75,0.8571428571428571,0.7857142686843872,0.7999999999999999,0.8017837257372731
7JJU_1_A-B_A_41_U.amt,2,0,0,1.0,1.0,1.0,1.0,1.0
6SWE_1_2_2_921_G.amt,6,4,4,0.6,0.6,0.6000000238418579,0.6,0.6
3IGI_1_A_A_280_A.amt,6,0,4,0.6,1.0,0.6666666865348816,0.7499999999999999,0.7745966692414834
7QGG_1_t-D_B_1526_U.amt,9,5,4,0.6923076923076923,0.6428571428571429,0.6785714030265808,0.6666666666666666,0.667124384994991
7NHN_1_a_a_816_C.amt,8,0,2,0.8,1.0,0.875,0.888888888888889,0.8944271909999159
8A57_1_A_A_566_U.amt,0,2,0,0.0,0.0,0.5,0.0,0.0
7PWO_1_2_2_879_G.amt,9,3,5,0.6428571428571429,0.75,0.6666666865348816,0.6923076923076924,0.6943650748294137
7PKT_1_8_A_141_C.amt,6,2,3,0.6666666666666666,0.75,0.6875,0.7058823529411765,0.7071067811865476
7OYC_1_51-81_A_1903_G.amt,12,4,5,0.7058823529411765,0.75,0.71875,0.7272727272727272,0.7276068751089989
7QEP_1_1_1_2573_A.amt,10,0,1,0.9090909090909091,1.0,0.949999988079071,0.9523809523809523,0.9534625892455924
6TH6_1_BA_A_2944_G.amt,4,0,1,0.8,1.0,0.875,0.888888888888889,0.8944271909999159
5LYS_1_B_B_62_C.amt,4,0,0,1.0,1.0,1.0,1.0,1.0
8BUU_1_a_A_962_U.amt,3,1,1,0.75,0.75,0.75,0.75,0.75
6YW5_1_aa_A_556_G.amt,15,1,2,0.8823529411764706,0.9375,0.90625,0.9090909090909091,0.9095085938862486
7QI4_1_A_A_2095_U.amt,10,2,4,0.7142857142857143,0.8333333333333334,0.75,0.7692307692307692,0.7715167498104596
7UNW_1_A_A_2876_C.amt,8,0,3,0.7272727272727273,1.0,0.8125,0.8421052631578948,0.8528028654224418
7QEP_1_1_1_1731_C.amt,4,2,1,0.8,0.6666666666666666,0.75,0.7272727272727272,0.7302967433402214
7OHQ_1_6_6_40_U.amt,2,0,1,0.6666666666666666,1.0,0.75,0.8,0.816496580927726
7R81_1_A1-C1_A_1487_A.amt,2,0,2,0.5,1.0,0.5,0.6666666666666666,0.7071067811865476
4JXZ_1_B_B_931_U.amt,2,0,0,1.0,1.0,1.0,1.0,1.0
3J7Q_1_5-8_5_3666_C.amt,2,4,0,1.0,0.3333333333333333,0.6666666865348816,0.5,0.5773502691896257
7UNW_1_B_A_24_G.amt,3,5,3,0.5,0.375,0.5,0.42857142857142855,0.4330127018922193
5XY3_1_1-4_1_2547_G.amt,2,4,0,1.0,0.3333333333333333,0.6666666865348816,0.5,0.5773502691896257
7A0S_1_X_X_2177_U.amt,2,0,1,0.6666666666666666,1.0,0.75,0.8,0.816496580927726
3SJ2_1_A-B_B_16_G.amt,2,0,1,0.6666666666666666,1.0,0.75,0.8,0.816496580927726
2A64_1_A_A_90_U.amt,4,0,0,1.0,1.0,1.0,1.0,1.0
7QCA_1_S60_A_1194_U.amt,2,8,3,0.4,0.2,0.44999998807907104,0.26666666666666666,0.28284271247461906
7UW1_1_a_A_1043_A.amt,7,5,5,0.5833333333333334,0.5833333333333334,0.5833333134651184,0.5833333333333334,0.5833333333333334
7OYC_1_51-81_A_633_G.amt,2,0,0,1.0,1.0,1.0,1.0,1.0
7QEP_1_3_3_1177_A.amt,10,0,4,0.7142857142857143,1.0,0.800000011920929,0.8333333333333333,0.8451542547285166
7P7Q_1_A_A_2727_G.amt,3,7,1,0.75,0.3,0.6000000238418579,0.4285714285714285,0.4743416490252569
7QEP_1_3_3_1250_A.amt,6,0,4,0.6,1.0,0.6666666865348816,0.7499999999999999,0.7745966692414834
8D8L_1_a_A_500_A.amt,8,0,3,0.7272727272727273,1.0,0.8125,0.8421052631578948,0.8528028654224418
6ZU5_1_L50_A_1795_A.amt,7,11,7,0.5,0.3888888888888889,0.5,0.43750000000000006,0.44095855184409843
6XU8_1_A5-A8_B_882_U.amt,2,0,2,0.5,1.0,0.5,0.6666666666666666,0.7071067811865476
5MRC_1_A_A_2576_A.amt,0,2,0,0.0,0.0,0.5,0.0,0.0
8A57_1_A_A_385_U.amt,5,1,3,0.625,0.8333333333333334,0.6666666865348816,0.7142857142857143,0.7216878364870323
6TH6_1_BA_A_820_G.amt,12,2,2,0.8571428571428571,0.8571428571428571,0.8571428656578064,0.8571428571428571,0.8571428571428571
7ZHG_1_2_A_262_U.amt,3,3,0,1.0,0.5,0.75,0.6666666666666666,0.7071067811865476
6LAX_1_A_A_41_C.amt,0,4,0,0.0,0.0,0.5,0.0,0.0
8CRX_1_A_A_604_A.amt,7,3,2,0.7777777777777778,0.7,0.75,0.7368421052631577,0.7378647873726218
3J79_1_A-C_A_1759_A.amt,10,2,8,0.5555555555555556,0.8333333333333334,0.5833333134651184,0.6666666666666667,0.6804138174397717
7PZY_1_1-4_1_292_U.amt,12,4,2,0.8571428571428571,0.75,0.8125,0.7999999999999999,0.8017837257372731
7UNW_1_A_A_810_A.amt,10,2,5,0.6666666666666666,0.8333333333333334,0.7083333134651184,0.7407407407407408,0.7453559924999299
7P6Z_1_3_3_2030_A.amt,2,0,0,1.0,1.0,1.0,1.0,1.0
7QEP_1_3_3_794_A.amt,6,4,5,0.5454545454545454,0.6,0.550000011920929,0.5714285714285713,0.5720775535473553
6RM3_1_S60_A_1151_U.amt,2,0,0,1.0,1.0,1.0,1.0,1.0
7RQB_1_1A_A_443_A.amt,6,6,2,0.75,0.5,0.6666666865348816,0.6,0.6123724356957945
7KGB_1_B_B_53_G.amt,10,0,6,0.625,1.0,0.699999988079071,0.7692307692307693,0.7905694150420949
4V9F_1_0_0_1578_C.amt,6,0,1,0.8571428571428571,1.0,0.9166666865348816,0.923076923076923,0.9258200997725514
7QI4_1_AA_A_1149_G.amt,2,2,1,0.6666666666666666,0.5,0.625,0.5714285714285715,0.5773502691896257
3J79_1_A-C_A_244_U.amt,4,0,3,0.5714285714285714,1.0,0.625,0.7272727272727273,0.7559289460184544
7UVZ_1_A_A_135_C.amt,2,0,1,0.6666666666666666,1.0,0.75,0.8,0.816496580927726
6ZMO_1_CB_A_28_C.amt,6,0,2,0.75,1.0,0.8333333134651184,0.8571428571428571,0.8660254037844386
7PWG_1_1-4_1_888_G.amt,2,4,1,0.6666666666666666,0.3333333333333333,0.5833333134651184,0.4444444444444444,0.4714045207910317
7P7Q_1_A_A_2288_C.amt,6,0,1,0.8571428571428571,1.0,0.9166666865348816,0.923076923076923,0.9258200997725514
7SFR_1_A_A_285_G.amt,6,2,6,0.5,0.75,0.5,0.6,0.6123724356957945
8A57_1_A_A_2438_G.amt,12,0,7,0.631578947368421,1.0,0.7083333134651184,0.7741935483870968,0.7947194142390263
6ERI_1_AA_A_505_G.amt,8,2,4,0.6666666666666666,0.8,0.699999988079071,0.7272727272727272,0.7302967433402214
7UIN_1_B_A_444_C.amt,4,0,3,0.5714285714285714,1.0,0.625,0.7272727272727273,0.7559289460184544
7RQB_1_1B_A_103_G.amt,4,2,4,0.5,0.6666666666666666,0.5,0.5714285714285715,0.5773502691896257
7QIW_1_2-8_A_964_U.amt,6,0,1,0.8571428571428571,1.0,0.9166666865348816,0.923076923076923,0.9258200997725514
6AZ1_1_1_1_70_U.amt,3,3,5,0.375,0.5,0.3333333432674408,0.42857142857142855,0.4330127018922193
4WF9_1_X_X_1413_C.amt,6,0,3,0.6666666666666666,1.0,0.75,0.8,0.816496580927726
3J7P_1_S2_A_1236_G.amt,3,3,1,0.75,0.5,0.6666666865348816,0.6,0.6123724356957945
7CPU_1_S2_A_616_C.amt,4,2,2,0.6666666666666666,0.6666666666666666,0.6666666865348816,0.6666666666666666,0.6666666666666666
7OYB_1_22_A_1039_G.amt,4,0,1,0.8,1.0,0.875,0.888888888888889,0.8944271909999159
7UW1_1_a_A_1080_U.amt,4,4,1,0.8,0.5,0.6875,0.6153846153846154,0.6324555320336759
5VW1_1_C_C_71_U.amt,2,0,0,1.0,1.0,1.0,1.0,1.0
7AS8_1_2_2_60_C.amt,12,0,1,0.9230769230769231,1.0,0.9583333134651184,0.9600000000000001,0.9607689228305228
8EUG_1_1-2_A_2982_A.amt,7,3,5,0.5833333333333334,0.7,0.6000000238418579,0.6363636363636365,0.6390096504226938
6TH6_1_BA_A_1937_A.amt,6,6,1,0.8571428571428571,0.5,0.7083333134651184,0.631578947368421,0.6546536707079771
6YWS_1_A_A_442_U.amt,4,0,4,0.5,1.0,0.5,0.6666666666666666,0.7071067811865476
7A0S_1_X_X_2229_G.amt,10,2,4,0.7142857142857143,0.8333333333333334,0.75,0.7692307692307692,0.7715167498104596
6ZU5_1_S60_A_495_A.amt,17,5,5,0.7727272727272727,0.7727272727272727,0.7727272510528564,0.7727272727272727,0.7727272727272727
7S0S_1_C_C_1362_A.amt,8,4,4,0.6666666666666666,0.6666666666666666,0.6666666865348816,0.6666666666666666,0.6666666666666666
8BUU_1_a_A_135_C.amt,10,2,2,0.8333333333333334,0.8333333333333334,0.8333333134651184,0.8333333333333334,0.8333333333333334
7QEP_1_3_3_688_G.amt,4,4,2,0.6666666666666666,0.5,0.625,0.5714285714285715,0.5773502691896257
7QIZ_1_S2_A_1007_U.amt,4,2,1,0.8,0.6666666666666666,0.75,0.7272727272727272,0.7302967433402214
7UNW_1_a_A_1358_U.amt,2,6,1,0.6666666666666666,0.25,0.5625,0.36363636363636365,0.408248290463863
7SFR_1_a_A_1059_G.amt,10,2,6,0.625,0.8333333333333334,0.6666666865348816,0.7142857142857143,0.7216878364870323
6SWD_1_2_2_329_C.amt,15,1,2,0.8823529411764706,0.9375,0.90625,0.9090909090909091,0.9095085938862486
8BUU_1_A_A_1225_G.amt,2,0,1,0.6666666666666666,1.0,0.75,0.8,0.816496580927726
7ZHG_1_2_A_1280_A.amt,8,4,3,0.7272727272727273,0.6666666666666666,0.7083333134651184,0.6956521739130435,0.6963106238227914
7R81_1_A2_A_1113_A.amt,10,2,6,0.625,0.8333333333333334,0.6666666865348816,0.7142857142857143,0.7216878364870323
7A0S_1_X_X_1196_G.amt,2,0,0,1.0,1.0,1.0,1.0,1.0
7UW1_1_a_A_414_C.amt,0,2,0,0.0,0.0,0.5,0.0,0.0
4WRT_1_V-R_V_6_U.amt,2,0,1,0.6666666666666666,1.0,0.75,0.8,0.816496580927726
8BUU_1_A_A_1232_G.amt,9,3,6,0.6,0.75,0.625,0.6666666666666665,0.6708203932499369
7JIL_1_2_2_573_G.amt,4,0,3,0.5714285714285714,1.0,0.625,0.7272727272727273,0.7559289460184544
7A0S_1_X_X_607_C.amt,0,2,0,0.0,0.0,0.5,0.0,0.0
6GAZ_1_AA_A_324_A.amt,2,0,0,1.0,1.0,1.0,1.0,1.0
7ASE_1_0_0_1470_C.amt,4,0,0,1.0,1.0,1.0,1.0,1.0
8DMB_1_W_A_149_A.amt,10,0,7,0.5882352941176471,1.0,0.6499999761581421,0.7407407407407407,0.7669649888473704
8CRX_1_A_A_818_G.amt,4,4,1,0.8,0.5,0.6875,0.6153846153846154,0.6324555320336759
6ERI_1_BA_A_470_G.amt,4,2,2,0.6666666666666666,0.6666666666666666,0.6666666865348816,0.6666666666666666,0.6666666666666666
7UVZ_1_A_A_1475_C.amt,4,0,1,0.8,1.0,0.875,0.888888888888889,0.8944271909999159
6TH6_1_BA_A_2096_G.amt,4,0,3,0.5714285714285714,1.0,0.625,0.7272727272727273,0.7559289460184544
